사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2023-11,1호선,0150,서울역,"1,446,981","1,382,424","217,363","207,561",2023-12-03 09:30:40
2023-11,1호선,0151,시청,"706,852","705,374","103,979","102,291",2023-12-03 09:30:40
2023-11,1호선,0152,종각,"983,062","964,695","149,124","137,862",2023-12-03 09:30:40
2023-11,1호선,0153,종로3가,"476,984","437,566","288,215","265,357",2023-12-03 09:30:40
2023-11,1호선,0154,종로5가,"503,760","494,954","245,469","236,463",2023-12-03 09:30:40
2023-11,1호선,0155,동대문,"228,644","220,181","123,983","123,667",2023-12-03 09:30:40
2023-11,1호선,0156,신설동,"296,375","284,293","119,681","117,247",2023-12-03 09:30:40
2023-11,1호선,0157,제기동,"236,214","225,295","263,515","281,109",2023-12-03 09:30:40
2023-11,1호선,0158,청량리(서울시립대입구),"380,377","369,038","271,514","275,177",2023-12-03 09:30:40
2023-11,1호선,0159,동묘앞,"145,123","150,686","149,961","151,238",2023-12-03 09:30:40
2023-11,2호선,0201,시청,"707,571","662,312","63,864","58,234",2023-12-03 09:30:40
2023-11,2호선,0202,을지로입구,"1,335,236","1,374,217","107,654","100,201",2023-12-03 09:30:40
2023-11,2호선,0203,을지로3가,"651,148","641,164","77,081","74,822",2023-12-03 09:30:40
2023-11,2호선,0204,을지로4가,"333,511","339,693","79,834","78,877",2023-12-03 09:30:40
2023-11,2호선,0205,동대문역사문화공원(DDP),"376,421","440,799","60,151","64,501",2023-12-03 09:30:40
2023-11,2호선,0206,신당,"342,459","360,452","92,936","95,191",2023-12-03 09:30:40
2023-11,2호선,0207,상왕십리,"356,918","344,692","69,214","70,010",2023-12-03 09:30:40
2023-11,2호선,0208,왕십리(성동구청),"430,189","376,172","53,794","48,157",2023-12-03 09:30:40
2023-11,2호선,0209,한양대,"378,021","415,265","14,913","16,058",2023-12-03 09:30:40
2023-11,2호선,0210,뚝섬,"647,649","678,875","63,515","63,498",2023-12-03 09:30:40
2023-11,2호선,0211,성수,"1,089,255","1,200,842","104,422","105,702",2023-12-03 09:30:40
2023-11,2호선,0212,건대입구,"1,002,639","1,062,356","94,938","98,643",2023-12-03 09:30:40
2023-11,2호선,0213,구의(광진구청),"621,121","600,553","108,032","108,328",2023-12-03 09:30:40
2023-11,2호선,0214,강변(동서울터미널),"824,426","780,885","124,328","120,082",2023-12-03 09:30:40
2023-11,2호선,0215,잠실나루,"353,359","341,242","93,438","93,782",2023-12-03 09:30:40
2023-11,2호선,0216,잠실(송파구청),"2,144,031","2,152,292","219,204","209,608",2023-12-03 09:30:40
2023-11,2호선,0217,잠실새내,"579,999","577,510","114,142","112,443",2023-12-03 09:30:40
2023-11,2호선,0218,종합운동장,"283,591","317,434","53,033","55,757",2023-12-03 09:30:40
2023-11,2호선,0219,삼성(무역센터),"1,522,589","1,545,451","122,229","113,340",2023-12-03 09:30:40
2023-11,2호선,0220,선릉,"1,370,785","1,208,533","235,172","206,951",2023-12-03 09:30:40
2023-11,2호선,0221,역삼,"1,277,744","1,464,716","155,338","158,092",2023-12-03 09:30:40
2023-11,2호선,0222,강남,"2,123,272","2,072,541","165,986","144,141",2023-12-03 09:30:40
2023-11,2호선,0223,교대(법원.검찰청),"731,799","885,819","153,848","183,786",2023-12-03 09:30:40
2023-11,2호선,0224,서초,"566,953","541,426","95,357","94,778",2023-12-03 09:30:40
2023-11,2호선,0225,방배,"442,800","462,170","80,996","80,407",2023-12-03 09:30:40
2023-11,2호선,0226,사당,"978,507","1,089,934","212,313","203,143",2023-12-03 09:30:40
2023-11,2호선,0227,낙성대(강감찬),"711,813","685,425","107,180","109,320",2023-12-03 09:30:40
2023-11,2호선,0228,서울대입구(관악구청),"1,199,679","1,167,132","177,833","167,580",2023-12-03 09:30:40
2023-11,2호선,0229,봉천,"554,366","508,596","151,067","149,710",2023-12-03 09:30:40
2023-11,2호선,0230,신림,"1,417,861","1,347,029","199,086","196,831",2023-12-03 09:30:40
2023-11,2호선,0231,신대방,"626,182","599,910","130,486","131,987",2023-12-03 09:30:40
2023-11,2호선,0232,구로디지털단지,"1,467,998","1,447,184","192,370","191,859",2023-12-03 09:30:40
2023-11,2호선,0233,대림(구로구청),"587,250","599,821","131,914","136,682",2023-12-03 09:30:40
2023-11,2호선,0234,신도림,"1,266,344","1,255,910","227,301","213,441",2023-12-03 09:30:40
2023-11,2호선,0235,문래,"558,453","575,209","88,470","88,119",2023-12-03 09:30:40
2023-11,2호선,0236,영등포구청,"528,029","546,732","102,721","101,254",2023-12-03 09:30:40
2023-11,2호선,0237,당산,"472,277","556,115","59,808","65,450",2023-12-03 09:30:40
2023-11,2호선,0238,합정,"910,534","995,720","71,830","72,264",2023-12-03 09:30:40
2023-11,2호선,0239,홍대입구,"2,012,032","2,173,849","101,960","98,645",2023-12-03 09:30:40
2023-11,2호선,0240,신촌,"1,064,202","1,092,882","125,381","123,232",2023-12-03 09:30:40
2023-11,2호선,0241,이대,"473,105","520,911","50,923","53,925",2023-12-03 09:30:40
2023-11,2호선,0242,아현,"261,750","241,214","65,696","64,278",2023-12-03 09:30:40
2023-11,2호선,0243,충정로(경기대입구),"251,727","269,843","48,719","49,233",2023-12-03 09:30:40
2023-11,2호선,0244,용답,"72,687","73,835","17,717","17,410",2023-12-03 09:30:40
2023-11,2호선,0245,신답,"38,552","42,956","9,692","10,635",2023-12-03 09:30:40
2023-11,2호선,0246,신설동,"81,201","77,153","31,174","33,113",2023-12-03 09:30:40
2023-11,2호선,0247,도림천,"27,698","29,324","8,289","9,326",2023-12-03 09:30:40
2023-11,2호선,0248,양천구청,"151,428","161,247","52,621","53,928",2023-12-03 09:30:40
2023-11,2호선,0249,신정네거리,"227,821","235,647","76,099","77,569",2023-12-03 09:30:40
2023-11,2호선,0250,용두(동대문구청),"49,598","48,169","23,888","24,904",2023-12-03 09:30:40
2023-11,3호선,0309,지축,"170,676","169,314","35,524","34,213",2023-12-03 09:30:40
2023-11,3호선,0310,구파발,"509,671","500,065","128,514","123,589",2023-12-03 09:30:40
2023-11,3호선,0311,연신내,"767,377","723,576","261,096","252,120",2023-12-03 09:30:40
2023-11,3호선,0312,불광,"349,031","372,112","140,283","154,763",2023-12-03 09:30:40
2023-11,3호선,0313,녹번,"386,434","342,524","82,422","80,976",2023-12-03 09:30:40
2023-11,3호선,0314,홍제,"405,372","380,829","147,070","145,607",2023-12-03 09:30:40
2023-11,3호선,0315,무악재,"99,342","94,347","33,555","35,407",2023-12-03 09:30:40
2023-11,3호선,0316,독립문,"161,137","165,872","72,667","72,242",2023-12-03 09:30:40
2023-11,3호선,0317,경복궁(정부서울청사),"706,127","723,506","100,758","101,624",2023-12-03 09:30:40
2023-11,3호선,0318,안국,"701,109","719,531","108,091","112,751",2023-12-03 09:30:40
2023-11,3호선,0319,종로3가,"249,075","292,759","66,039","73,653",2023-12-03 09:30:40
2023-11,3호선,0320,을지로3가,"292,170","298,759","51,497","49,196",2023-12-03 09:30:40
2023-11,3호선,0321,충무로,98,0,1,0,2023-12-03 09:30:40
2023-11,3호선,0322,동대입구,"314,400","350,560","43,220","48,315",2023-12-03 09:30:40
2023-11,3호선,0323,약수,"303,501","298,039","83,714","79,107",2023-12-03 09:30:40
2023-11,3호선,0324,금호,"185,011","168,149","55,327","54,245",2023-12-03 09:30:40
2023-11,3호선,0325,옥수,"202,688","208,825","61,168","60,576",2023-12-03 09:30:40
2023-11,3호선,0326,압구정,"775,768","852,535","142,974","142,812",2023-12-03 09:30:40
2023-11,3호선,0327,신사,"770,999","811,096","72,390","70,206",2023-12-03 09:30:40
2023-11,3호선,0328,잠원,"118,612","112,748","32,887","31,202",2023-12-03 09:30:40
2023-11,3호선,0329,고속터미널,"1,266,190","1,202,438","214,016","201,830",2023-12-03 09:30:40
2023-11,3호선,0330,교대(법원.검찰청),"402,405","244,993","88,797","49,872",2023-12-03 09:30:40
2023-11,3호선,0331,남부터미널(예술의전당),"748,148","763,130","129,448","131,642",2023-12-03 09:30:40
2023-11,3호선,0332,양재(서초구청),"925,127","1,024,776","158,281","158,526",2023-12-03 09:30:40
2023-11,3호선,0333,매봉,"287,754","279,390","73,317","68,981",2023-12-03 09:30:40
2023-11,3호선,0334,도곡,"122,756","124,459","25,135","23,992",2023-12-03 09:30:40
2023-11,3호선,0335,대치,"287,431","285,953","73,032","70,247",2023-12-03 09:30:40
2023-11,3호선,0336,학여울,"53,908","55,127","18,997","18,654",2023-12-03 09:30:40
2023-11,3호선,0337,대청,"251,378","233,988","63,173","60,919",2023-12-03 09:30:40
2023-11,3호선,0338,일원,"254,470","242,928","74,073","73,504",2023-12-03 09:30:40
2023-11,3호선,0339,수서,"440,983","449,904","122,945","120,461",2023-12-03 09:30:40
2023-11,3호선,0340,가락시장,"188,369","187,230","84,236","83,270",2023-12-03 09:30:40
2023-11,3호선,0341,경찰병원,"172,295","170,076","43,729","45,252",2023-12-03 09:30:40
2023-11,3호선,0342,오금,"160,170","142,768","34,122","32,094",2023-12-03 09:30:40
2023-11,4호선,0409,당고개,"211,959","178,230","77,516","76,511",2023-12-03 09:30:40
2023-11,4호선,0410,상계,"452,216","417,022","128,086","125,544",2023-12-03 09:30:40
2023-11,4호선,0411,노원,"475,172","561,550","101,018","108,734",2023-12-03 09:30:40
2023-11,4호선,0412,창동,"550,341","584,816","218,017","225,113",2023-12-03 09:30:40
2023-11,4호선,0413,쌍문,"684,672","623,490","177,797","175,977",2023-12-03 09:30:40
2023-11,4호선,0414,수유(강북구청),"818,697","814,003","199,654","199,637",2023-12-03 09:30:40
2023-11,4호선,0415,미아(서울사이버대학),"345,399","328,350","117,250","119,802",2023-12-03 09:30:40
2023-11,4호선,0416,미아사거리,"609,137","594,800","190,411","189,867",2023-12-03 09:30:40
2023-11,4호선,0417,길음,"533,294","532,325","125,285","125,715",2023-12-03 09:30:40
2023-11,4호선,0418,성신여대입구(돈암),"570,317","546,320","92,007","89,781",2023-12-03 09:30:40
2023-11,4호선,0419,한성대입구(삼선교),"361,514","348,060","77,933","76,352",2023-12-03 09:30:40
2023-11,4호선,0420,혜화,"1,011,308","1,017,934","145,354","144,143",2023-12-03 09:30:40
